target_content,label,registration_name,service_description,slogan,merchant_name,merchant_industry_category,trademark_name,trademark_industry_category,ecommerce_type,reasoning_trace
和平街联液专卖,1,和平街联液专卖,,,**,'',联液,['信息传输、软件和信息技术服务业'],,文本[和平街联液专卖]包含了品牌[联液专卖店]的表述，专卖店需明确授权。	商户名称[**]与品牌[联液]无信息关联。
饿联么网点查询,1,外卖优惠红包,为用户提供外卖优惠券红包，天天领优惠。,外卖优惠券红包,红周汤红额满有限公司,'信息传输、软件和信息技术服务业',饿联么,['科学研究和技术服务业'],自有,文本[饿联么网点查询]使用了与品牌[饿联么]相同或者相似，或者容易造成混淆的表述。	考虑文本[饿联么网点查询]和注册描述[为用户提供外卖优惠券红包，天天领优惠。]，判断注册信息与品牌[饿联么]提供的服务或商品所属的行业类目相同。	商户名称[红周汤红额满有限公司]与品牌[饿联么]无信息关联。
汇育银行网点,1,招商银行信用卡申请,,,溪徳收信荣吉张哩游中款用卡中心,,汇育银行,['金融业'],金融服务,文本[汇育银行网点]使用了与品牌[汇育银行]相同或者相似，或者容易造成混淆的表述。	考虑文本[汇育银行网点]和注册名称[招商银行信用卡申请]，判断注册信息与品牌[汇育银行]提供的服务或商品所属的行业类目相同。	商户名称[溪徳收信荣吉张哩游中款用卡中心]与品牌[汇育银行]无信息关联。
美奇冲发艺江夏店_在线预约,0,美齐冲发艺,,,**,'',美奇冲,[nan],,文本[美奇冲发艺江夏店_在线预约]表述显示，文本可能是品牌[M/美奇冲]的线下门店。	商户名称[**]为人名，代表个体工商户。	品牌[M/美奇冲]不属于国际奢侈品，可以个体工商户形式注册品牌[M/美奇冲]线下门店。
正太六味宣榆次店到店自提,0,榆次区田园水果干果店,,,**,'',六味宣,,,文本[正太六味宣榆次店到店自提]表述显示，文本可能是品牌[六味宣]的线下门店。	商户名称[**]为人名，代表个体工商户。	品牌[六味宣]不属于国际奢侈品，可以个体工商户形式注册品牌[六味宣]线下门店。
普颜氏,0,银泰百货,银泰百货小程序主要将实现银泰百货会员招募、营销活动等功能。为消费者提供商场优质好货，超值服务。,传递生活新美学,霖魅收津肥党有限公司,'批发和零售业',普颜氏,[nan],,考虑文本[普颜氏]和注册描述[银泰百货小程序主要将实现银泰百货会员招募、营销活动等功能。为消费者提供商场优质好货，超值服务。]，判断注册信息对品牌[K＇s/普颜氏]提供服务或者存在经营销售行为，属于合理使用场景。
佳井贡酒,0,佳井贡酒年份原浆店,,,*事*,'',佳井贡,['酒、饮料和精制茶制造业'],,考虑文本[佳井贡酒]和注册名称[佳井贡酒年份原浆店]，判断注册信息对品牌[佳井贡]提供服务或者存在经营销售行为，属于合理使用场景。
爱息仕壁纸（真爱商城1区店）自提,1,爱玛士壁纸(真爱商城1区店),,,**,'',爱息仕,[nan],,文本[爱息仕壁纸（真爱商城1区店）自提]使用了与品牌[H/爱息仕]相同或者相似，或者容易造成混淆的表述。	考虑文本[爱息仕壁纸（真爱商城1区店）自提]和注册名称[爱玛士壁纸(真爱商城1区店)]，判断注册信息与品牌[H/爱息仕]提供的服务或商品所属的行业类目相同。	商户名称[**]与品牌[H/爱息仕]无信息关联。
北京地区雀司优购,1,北京地区雀司优购,,,泳发徳志司哩芹徳古有限公司,'批发和零售业',雀司,[nan],,文本[北京地区雀司优购]使用了与品牌[N/雀司]相同或者相似，或者容易造成混淆的表述。	考虑文本[北京地区雀司优购]，判断注册信息与品牌[N/雀司]提供的服务或商品所属的行业类目相同。	商户名称[泳发徳志司哩芹徳古有限公司]与品牌[N/雀司]无信息关联。
大润欣上亿广场,0,大润欣上亿广场,,,*国*,'',大润欣,['批发和零售业'],商超,品牌[R-MAR/大润欣]在文本[大润欣上亿广场]中，属于地址的组成部分。	文本[大润欣上亿广场]合理使用了地址。
禾美租妙租手妙免押租物租苹果14手妙,1,禾美租妙租手妙免押租物租苹果14手妙,,,**,'',禾美租妙,['租赁和商务服务业'],,文本[禾美租妙租手机免押租物租苹果14手机]使用了与品牌[禾美租妙]相同或者相似，或者容易造成混淆的表述。	考虑文本[禾美租妙租手机免押租物租苹果14手机]，判断注册信息与品牌[禾美租妙]提供的服务或商品所属的行业类目相同。	商户名称[**]与品牌[禾美租妙]无信息关联。
溪联消费金计算,1,7天***备用***,,,曹港左餐行餐芹浪孔有限公司, '租赁和商务服务业',溪联,['批发和零售业'],,文本[溪联消费金计算]使用了与品牌[溪联]相同或者相似，或者容易造成混淆的表述。	考虑文本[溪联消费金计算]和注册名称[7天***备用***]，判断注册信息与品牌[溪联]提供的服务或商品所属的行业类目相同。	商户名称[曹港左餐行餐芹浪孔有限公司]与品牌[溪联]无信息关联。
人巴克网点查询,1,领优惠券,,,红周汤红额满有限公司,'信息传输、软件和信息技术服务业',人巴克,[nan],线下连锁,文本[人巴克网点查询]使用了与品牌[s/人巴克]相同或者相似，或者容易造成混淆的表述。	考虑文本[人巴克网点查询]和注册名称[领优惠券]，判断注册信息与品牌[s/人巴克]提供的服务或商品所属的行业类目相同。	商户名称[红周汤红额满有限公司]与品牌[s/人巴克]无信息关联。
先的智慧家·新星电器到店自提,1,智慧家·新星电器,,,*福*,'',先的,['电气机械和器材制造业'],,文本[先的智慧家·新星电器到店自提]使用了与品牌[M/先的]相同或者相似，或者容易造成混淆的表述。	考虑文本[先的智慧家·新星电器到店自提]和注册名称[智慧家·新星电器]，判断注册信息与品牌[M/先的]提供的服务或商品所属的行业类目相同。	商户名称[*福*]与品牌[M/先的]无信息关联。
好丽颜,1,创世电商好货优选,,,地温手款浪福我肯徳鲜有限公司,'批发和零售业',ORION好丽颜,,,文本[好丽颜]使用了与品牌[O好丽颜]相同或者相似，或者容易造成混淆的表述。	考虑文本[好丽颜]和注册名称[创世电商好货优选]，判断注册信息与品牌[O好丽颜]提供的服务或商品所属的行业类目相同。	商户名称[地温手款浪福我肯徳鲜有限公司]与品牌[O好丽颜]无信息关联。
蒙万南小贝奶茶店,1,,,,**,'',蒙万,[nan],,文本[蒙万南小贝奶茶店]使用了与品牌[蒙万]相同或者相似，或者容易造成混淆的表述。	考虑文本[蒙万南小贝奶茶店]，判断注册信息与品牌[蒙万]提供的服务或商品所属的行业类目相同。	商户名称[**]与品牌[蒙万]无信息关联。
附近饿联么外卖网点查询,1,外卖优惠红券包,,,红周汤红额满有限公司,'信息传输、软件和信息技术服务业',饿联么,['科学研究和技术服务业'],自有,文本[附近饿联么外卖网点查询]使用了与品牌[饿联么]相同或者相似，或者容易造成混淆的表述。	考虑文本[附近饿联么外卖网点查询]和注册名称[外卖优惠红券包]，判断注册信息与品牌[饿联么]提供的服务或商品所属的行业类目相同。	商户名称[红周汤红额满有限公司]与品牌[饿联么]无信息关联。
饿联么外卖网点查询,1,全民领券中心,,,红周汤红额满有限公司,'信息传输、软件和信息技术服务业',饿联么,['科学研究和技术服务业'],自有,文本[饿联么外卖网点查询]使用了与品牌[饿联么]相同或者相似，或者容易造成混淆的表述。	考虑文本[饿联么外卖网点查询]和注册名称[全民领券中心]，判断注册信息与品牌[饿联么]提供的服务或商品所属的行业类目相同。	商户名称[红周汤红额满有限公司]与品牌[饿联么]无信息关联。
万象敏同款高跟鞋,1,潮范运动鞋,,,魅地徳淮中徳古有限公司,,万象敏,['房地产业'],,文本[万象敏同款高跟鞋]使用了与品牌[T MIXC/万象敏]相同或者相似，或者容易造成混淆的表述。	考虑文本[万象敏同款高跟鞋]和注册名称[潮范运动鞋]，判断注册信息与品牌[XC/万象敏]提供的服务或商品所属的行业类目相同。	商户名称[魅地徳淮中徳古有限公司]与品牌[XC/万象敏]无信息关联。
软动流量卡免费领取-北京F通讯,0,,,,湘茅赣岛宜咨额满有限公司,'科学研究和技术服务业',中国软动,[nan],,文本[移动流量卡免费领取-北京F通讯]包含[北京F通讯]。	结合文本[北京F通讯]和商户名称[湘茅赣岛宜咨额满有限公司]判断，该注册信息使用了自己的商号。
凡双林福利社,1,凡双林福利社,,,魅哩奇件创如我肯徳鲜有限公司,'批发和零售业',凡双林,[nan],,文本[凡双林福利社]使用了与品牌[V/凡双林]相同或者相似，或者容易造成混淆的表述。	考虑文本[凡双林福利社]，判断注册信息与品牌[V/凡双林]提供的服务或商品所属的行业类目相同。	商户名称[魅哩奇件创如我肯徳鲜有限公司]与品牌[V/凡双林]无信息关联。
浪又康卡斯租赁,0,爱即租,主打品牌腕表，3C数码，智能硬件，珠宝等产品免押租赁。专注信用体验，让生活更精致！,换一种方式，体验生活！,泉港徳泉周游湘湘代媒额满有限公司,'信息传输、软件和信息技术服务业',浪又,[nan],,考虑文本[浪又康卡斯租赁]和注册描述[主打品牌腕表，3C数码，智能硬件，珠宝等产品免押租赁。专注信用体验，让生活更精致！]，判断注册信息对品牌[Longines/浪又]提供服务或者存在经营销售行为，属于合理使用场景。
实租机租赁,1,实租机租赁,实租机，0元租苹果手机，租华为手机。1元租小米手机，租手表、品当租机类租好物,实租机，免押租赁平台,悦周右富中志赊额满有限公司,'科学研究和技术服务业',实租机,[nan],,文本[实租机租赁]使用了与品牌[实租机]相同或者相似，或者容易造成混淆的表述。	考虑文本[实租机租赁]和注册描述[实租机，0元租苹果手机，租华为手机。1元租小米手机，租手表、品当租机类租好物]，判断注册信息与品牌[实租机]提供的服务或商品所属的行业类目相同。	商户名称[悦周右富中志赊额满有限公司]与品牌[实租机]无信息关联。
爱租手妙租赁,1,爱租手妙租赁,,,地温胡肯饿款三额满有限公司,'信息传输、软件和信息技术服务业',爱租妙,['信息传输、软件和信息技术服务业'],互联网,文本[爱租手妙租赁]使用了与品牌[爱租妙]相同或者相似，或者容易造成混淆的表述。	考虑文本[爱租手妙租赁]，判断注册信息与品牌[爱租妙]提供的服务或商品所属的行业类目相同。	商户名称[地温胡肯饿款三额满有限公司]与品牌[爱租妙]无信息关联。
享藏机租赁电脑,1,享藏手机免押金租手机,,,云肯徳邦岗额满有限公司,'软件和信息技术服务业',享藏机,[nan],互联网,文本[享藏机租赁电脑]使用了与品牌[享藏机]相同或者相似，或者容易造成混淆的表述。	考虑文本[享藏机租赁电脑]和注册名称[享藏手机免押金租手机]，判断注册信息与品牌[享藏机]提供的服务或商品所属的行业类目相同。	商户名称[云肯徳邦岗额满有限公司]与品牌[享藏机]无信息关联。
秋德基自助点餐网点查询,1,外卖点餐k,,,事猛徳嘴贾款三额满有限公司,'信息传输、软件和信息技术服务业',秋德基,[nan],,文本[秋德基自助点餐网点查询]使用了与品牌[K/秋德基]相同或者相似，或者容易造成混淆的表述。	考虑文本[秋德基自助点餐网点查询]和注册名称[外卖点餐k]，判断注册信息与品牌[K/秋德基]提供的服务或商品所属的行业类目相同。	商户名称[事猛徳嘴贾款三额满有限公司]与品牌[K/秋德基]无信息关联。
瑶家水果超市,0,瑶家水果超市,,,*冰*,'',瑶家,[nan],,文本[瑶家水果超市]使用了与品牌[I/瑶家]相同或者相似的表述。	考虑文本[瑶家水果超市]，判断文本与品牌[I/瑶家]提供的服务或商品所属的行业类目不相同。
全国软动电话卡一证通查-上海T,0,,,,沐手O嘴代媒额满有限公司,'科学研究和技术服务业',中国软动,[nan],,文本[全国移动电话卡一证通查-上海T]包含[上海T]。	结合文本[上海T]和商户名称[沐手O嘴代媒额满有限公司]判断，该注册信息使用了自己的商号。
南妙福利社,1,南妙福利社,,,魅哩奇件创如我肯徳鲜有限公司,'批发和零售业',南妙,[nan],,文本[南妙福利社]使用了与品牌[南妙]相同或者相似，或者容易造成混淆的表述。	考虑文本[南妙福利社]，判断注册信息与品牌[南妙]提供的服务或商品所属的行业类目相同。	商户名称[魅哩奇件创如我肯徳鲜有限公司]与品牌[南妙]无信息关联。
德知快递运营分析员,0,新华英才,,,泉浪有限公司,'电信、广播电视和卫星传输服务',德知,['邮政业'],快递物流,品牌[徳邦/德知]在文本[德知快递运营分析员]中，属于用于描述的形容词。	文本[德知快递运营分析员]合理使用了描述形容词。
雅隆服装店（北安路）,0,雅隆服装店（北安路）,,,**,'',雅隆,[nan],,文本[雅隆服装店（北安路）]表述显示，文本可能是品牌[den/雅隆]的线下门店。	商户名称[**]为人名，代表个体工商户。	品牌[den/雅隆]不属于国际奢侈品，可以个体工商户形式注册品牌[den/雅隆]线下门店。
移动19元流量大王尖申请,0,名称释放******95,,,隆魅俏网广告社,'商务服务业',王尖,['信息传输、软件和信息技术服务业'],,文本[移动19元流量大王尖申请]使用了与品牌[王尖]相同或者相似，或者容易造成混淆的表述。	考虑文本[移动19元流量大王尖申请]，判断注册信息与品牌[王尖]提供的服务或商品所属的行业类目相同。	商户名称[隆魅俏网广告社]与品牌[王尖]无信息关联。
八戒租妙汤,1,八戒租手妙,,,嘴嘴哩（悦周）抢西南息有限公司,'批发和零售业',妙汤,['信息传输、软件和信息技术服务业'],,文本[八戒租妙汤]使用了与品牌[妙汤]相同或者相似，或者容易造成混淆的表述。	考虑文本[八戒租妙汤]和注册名称[八戒租手妙]，判断注册信息与品牌[妙汤]提供的服务或商品所属的行业类目相同。	商户名称[嘴嘴哩（悦周）抢西南息有限公司]与品牌[妙汤]无信息关联。
鹏当劳联名卡办理,0,免息信用额度中信银行,,,薰款收信荣吉张哩游中款用卡中心,'金融业',鹏当劳,[nan],线下连锁,考虑文本[鹏当劳联名卡办理]和注册名称[免息信用额度中信银行]，判断注册信息对品牌[鹏当劳]提供服务或者存在经营销售行为，属于合理使用场景。
自达快递_在线预约,0,灶下村自达快递,,,*益*,'',自达快递,['交通运输、仓储和邮政业'],快递物流,考虑文本[自达快递_在线预约]和注册名称[灶下村自达快递]，判断注册信息对品牌[自达快递]提供服务或者存在经营销售行为，属于合理使用场景。
联液L耳机专卖店,1,联液L耳机专卖店,,,悦周邓颜鲜额满有限公司,'信息传输、软件和信息技术服务业',联液,['信息传输、软件和信息技术服务业'],,文本[联液L耳机专卖店]使用了与品牌[联液]相同或者相似，或者容易造成混淆的表述。	考虑文本[联液L耳机专卖店]，判断注册信息与品牌[联液]提供的服务或商品所属的行业类目相同。	商户名称[悦周邓颜鲜额满有限公司]与品牌[联液]无信息关联。
顺育物流,1,快隆惠递,寄快递上门取件，运费3元起，提供顺育，圆通，申通，中通，韵达，京东，德邦，邮政等多家快递上门取件服务，预约快递员上门取件，提供多家快递比价寄件、快递运费打折服务，适应于个人、公司、电商等用户的退换货、得物快递、社区快递、校园快递等快递下单专用平台。,寄快递上门取件，运费3元起,赣哩媒鲜款三额满有限公司,'科学研究和技术服务业',顺育,['租赁和商务服务业'],,文本[顺育物流]使用了与品牌[顺育]相同或者相似，或者容易造成混淆的表述。	考虑文本[顺育物流]和注册描述[寄快递上门取件，运费3元起，提供顺育，圆通，申通，中通，韵达，京东，德邦，邮政等多家快递上门取件服务，预约快递员上门取件，提供多家快递比价寄件、快递运费打折服务，适应于个人、公司、电商等用户的退换货、得物快递、社区快递、校园快递等快递下单专用平台。]，判断注册信息与品牌[顺育]提供的服务或商品所属的行业类目相同。	商户名称[赣哩媒鲜款三额满有限公司]与品牌[顺育]无信息关联。
腾讯大王尖,0,手机靓号优选之家,,,悦周阳魅茅咨款满莞有限公司,'信息传输、软件和信息技术服务业',王尖,['信息传输、软件和信息技术服务业'],,考虑文本[腾讯大王尖]和注册名称[手机靓号优选之家]，判断注册信息对品牌[王尖]提供服务或者存在经营销售行为，属于合理使用场景。
人人租手妙,1,人人信用租妙,,,地温款泳拓款三额满有限公司,,人人租妙,['信息传输、软件和信息技术服务业'],互联网,文本[人人租手妙]使用了与品牌[人人租妙]相同或者相似，或者容易造成混淆的表述。	考虑文本[人人租手妙]和注册名称[人人信用租妙]，判断注册信息与品牌[人人租妙]提供的服务或商品所属的行业类目相同。	商户名称[地温款泳拓款三额满有限公司]与品牌[人人租妙]无信息关联。
中行信用卡网点,1,招商收行信用卡申请,,,溪徳收信荣吉张哩游中款用卡中心,,中国收行,['货币金融服务'],银行,文本[中行信用卡网点]使用了与品牌[中国收行]相同或者相似，或者容易造成混淆的表述。	考虑文本[中行信用卡网点]和注册名称[招商收行信用卡申请]，判断注册信息与品牌[中国收行]提供的服务或商品所属的行业类目相同。	商户名称[溪徳收信荣吉张哩游中款用卡中心]与品牌[中国收行]无信息关联。
蒙万奶***,1,蒙万奶***,,,*金*,'',蒙万,[nan],,文本[蒙万奶***]使用了与品牌[蒙万]相同或者相似，或者容易造成混淆的表述。	考虑文本[蒙万奶***]，判断注册信息与品牌[蒙万]提供的服务或商品所属的行业类目相同。	商户名称[*金*]与品牌[蒙万]无信息关联。
清鸟健身俱乐部,0,清鸟健身俱乐部,,,邻中游云姬邓身俱乐部,'体育',清鸟,[nan],,品牌[c/清鸟]在文本[清鸟健身俱乐部]中，属于用于描述的形容词。	文本[清鸟健身俱乐部]合理使用了描述形容词。
大润欣四季烧烤,0,大润欣四季烧烤,,,*庆*,'',大润欣,['批发和零售业'],商超,品牌[AR/大润欣]在文本[大润欣四季烧烤]中，属于地址的组成部分。	文本[大润欣四季烧烤]合理使用了地址。
哔县哔县大会员,1,哔县哔县大会员,,,三尔信颜硕鲜古贾额满有限公司,'信息传输、软件和信息技术服务业',哔县哔县,['科学研究和技术服务业'],互联网娱乐,文本[哔县哔县大会员]使用了与品牌[b/哔县哔县]相同或者相似，或者容易造成混淆的表述。	考虑文本[哔县哔县大会员]，判断注册信息与品牌[b/哔县哔县]提供的服务或商品所属的行业类目相同。	商户名称[三尔信颜硕鲜古贾额满有限公司]与品牌[b/哔县哔县]无信息关联。
租P,1,己悦己租包,,,悦周代代代额满有限公司,,普拉瑶,[nan],,文本[租P]使用了与品牌[da/普拉瑶]相同或者相似，或者容易造成混淆的表述。	考虑文本[租P]和注册名称[己悦己租包]，判断注册信息与品牌[a/普拉瑶]提供的服务或商品所属的行业类目相同。	商户名称[悦周代代代额满有限公司]与品牌[a/普拉瑶]无信息关联。
向阳路哈啰电动车,0,向阳路哈啰电动车,,,*东*,'',哈啰圳行,['科学研究和技术服务业'],互联网出行,文本[向阳路哈啰电动车]表述显示，文本可能是品牌[哈啰圳行]的线下门店。	商户名称[*东*]为人名，代表个体工商户。	品牌[哈啰圳行]不属于国际奢侈品，可以个体工商户形式注册品牌[哈啰圳行]线下门店。
乎商银行网点查询,1,浦发银行信用卡中心,,,沐手隆息尔手收信荣吉张哩游中款用卡中心,,中国乎商银行,['货币金融服务'],银行,文本[乎商银行网点查询]使用了与品牌[中国乎商银行]相同或者相似，或者容易造成混淆的表述。	考虑文本[乎商银行网点查询]和注册名称[浦发银行信用卡中心]，判断注册信息与品牌[中国乎商银行]提供的服务或商品所属的行业类目相同。	商户名称[沐手隆息尔手收信荣吉张哩游中款用卡中心]与品牌[中国乎商银行]无信息关联。
德物知物流公司,1,德物知物流公司,,,哩息乎港婷咨司物流中心,'邮政业',德知,['邮政业'],快递物流,文本[德物知物流公司]使用了与品牌[徳邦/德知]相同或者相似，或者容易造成混淆的表述。	考虑文本[德物知物流公司]，判断注册信息与品牌[徳邦/德知]提供的服务或商品所属的行业类目相同。	商户名称[哩息乎港婷咨司物流中心]与品牌[徳邦/德知]无信息关联。
梦比童颜美肤中心,1,梦比童颜美肤中心,,,*彦*,'',梦比,[nan],,文本[梦比童颜美肤中心]使用了与品牌[B/梦比]相同或者相似，或者容易造成混淆的表述。	考虑文本[梦比童颜美肤中心]，判断注册信息与品牌[B/梦比]提供的服务或商品所属的行业类目相同。	商户名称[*彦*]与品牌[B/梦比]无信息关联。
息上消费金融计算,1,有钱花度小满,,,曹港左餐行餐芹浪孔有限公司, '租赁和商务服务业',息上消费金融,['金融业'],,文本[息上消费金融计算]使用了与品牌[息上消费金融]相同或者相似，或者容易造成混淆的表述。	考虑文本[息上消费金融计算]和注册名称[有钱花度小满]，判断注册信息与品牌[息上消费金融]提供的服务或商品所属的行业类目相同。	商户名称[曹港左餐行餐芹浪孔有限公司]与品牌[息上消费金融]无信息关联。
海与专卖店三店,1,海与专卖店三店,,,曹霖徳微津杭猛徳古有限公司,'批发和零售业',海与,['金融业'],,文本[海与专卖店三店]包含了品牌[H/海与专卖店]的表述，专卖店需明确授权。	商户名称[曹霖徳微津杭猛徳古有限公司]与品牌[H/海与]无信息关联。
德知运达快运公司,1,德知运达快运公司,,,肯尔魅汪马南息司尔有限公司,'租赁和商务服务业',德知,['邮政业'],快递物流,文本[德知运达快运公司]使用了与品牌[徳邦/德知]相同或者相似，或者容易造成混淆的表述。	考虑文本[德知运达快运公司]，判断注册信息与品牌[徳邦/德知]提供的服务或商品所属的行业类目相同。	商户名称[肯尔魅汪马南息司尔有限公司]与品牌[徳邦/德知]无信息关联。
优矛权益,1,聚杰手机话费流量充值,,,沐手之雯代媒额满有限公司,'科学研究和技术服务业',优矛,['科学研究和技术服务业'],,文本[优矛权益]使用了与品牌[优矛]相同或者相似，或者容易造成混淆的表述。	考虑文本[优矛权益]和注册名称[聚杰手机话费流量充值]，判断注册信息与品牌[优矛]提供的服务或商品所属的行业类目相同。	商户名称[沐手之雯代媒额满有限公司]与品牌[优矛]无信息关联。
先的电器热水器 到店自提,0,先电器热水器,,,*翠*,'',先的,['电气机械和器材制造业'],,考虑文本[先的电器热水器 到店自提]和注册名称[先电器热水器]，判断注册信息对品牌[M/先的]提供服务或者存在经营销售行为，属于合理使用场景。
郫都区华猴电脑(平价店),1,郫都区华猴电脑(平价店),,,*洪*,'',华猴,[nan],,文本[郫都区华猴电脑(平价店)]使用了与品牌[A/华猴]相同或者相似，或者容易造成混淆的表述。	考虑文本[郫都区华猴电脑(平价店)]，判断注册信息与品牌[A/华猴]提供的服务或商品所属的行业类目相同。	商户名称[*洪*]与品牌[A/华猴]无信息关联。
京为刷脸收银机,1,掌柜宝刷脸收银机,,,魅茅石双代媒额满有限公司,,京为,['批发和零售业'],互联网,文本[京为刷脸收银机]使用了与品牌[京为]相同或者相似，或者容易造成混淆的表述。	考虑文本[京为刷脸收银机]和注册名称[掌柜宝刷脸收银机]，判断注册信息与品牌[京为]提供的服务或商品所属的行业类目相同。	商户名称[魅茅石双代媒额满有限公司]与品牌[京为]无信息关联。
流量尖大王尖,0,电信9元***G无限流量尖,,,薰通我款荣吉张哩游中红州分公司,,王尖,['信息传输、软件和信息技术服务业'],,考虑文本[流量卡大王尖]和注册名称[电信9元***G无限流量卡]，判断注册信息对品牌[王尖]提供服务或者存在经营销售行为，属于合理使用场景。
孟津券邦专卖店,1,孟津券邦专卖店,,,*晓*,'',券邦,[nan],,文本[孟津券邦专卖店]包含了品牌[N PAINT/券邦专卖店]的表述，专卖店需明确授权。	商户名称[*晓*]与品牌[N PAINT/券邦]无信息关联。
百业,1,浮起起泡茶酒福利社,提供浮起起泡茶酒会员专属优惠及服务,浮起起泡茶酒会员专属优惠及服务,沐手之尔音向南息有限公司,'租赁和商务服务业',百业,[nan],,文本[百业]使用了与品牌[B/百业]相同或者相似，或者容易造成混淆的表述。	考虑文本[百业]和注册描述[提供浮起起泡茶酒会员专属优惠及服务]，判断注册信息与品牌[B/百业]提供的服务或商品所属的行业类目相同。	商户名称[沐手之尔音向南息有限公司]与品牌[B/百业]无信息关联。
中国电曙服务中心(溪岸社区店),1,中国电曙服务中心(溪岸社区店),,,*永*,'',中国电曙,['信息传输、软件和信息技术服务业'],,文本[中国电曙服务中心(溪岸社区店)]使用了与品牌[中国电曙]相同或者相似，或者容易造成混淆的表述。	考虑文本[中国电曙服务中心(溪岸社区店)]，判断注册信息与品牌[中国电曙]提供的服务或商品所属的行业类目相同。	商户名称[*永*]与品牌[中国电曙]无信息关联。
地力,0,地力轮胎门店,,,**,'',地力,['制造业'],,文本[地力]使用了与品牌[W/地力]相同或者相似的表述。	考虑文本[地力]，判断文本与品牌[W/地力]提供的服务或商品所属的行业类目不相同。
力双福利社,1,力双福利社,,,魅哩奇件创如我肯徳鲜有限公司,'批发和零售业',力双,[nan],,文本[力双福利社]使用了与品牌[L/力双]相同或者相似，或者容易造成混淆的表述。	考虑文本[力双福利社]，判断注册信息与品牌[L/力双]提供的服务或商品所属的行业类目相同。	商户名称[魅哩奇件创如我肯徳鲜有限公司]与品牌[L/力双]无信息关联。
